declaracao_pessoa_cnpj,declaracao_item_pessoa_cnpj,declaracao_item_municipio,declaracao_codigo,declaracao_item_codigo,declaracao_item_quantidade,ano
76323633000100,82827353000124.0,Salto Veloso,9837080,145346807.0,2935.8,95082
76323633000100,82827999000101.0,Tangará,9837080,145346894.0,4458.69,95082
76323633000100,82939232000174.0,Campos Novos,9837080,145346976.0,34582.47,95082
76323633000100,83039842000184.0,Videira,9328876,137877108.0,42841.81,91035
76323633000100,83074294000123.0,Preencher,667486,10079132.0,219.44,6070
76323633000100,83074294000123.0,Rio das Antas,9169594,135267703.0,2828.96,89012
76323633000100,83102566000151.0,Matos Costa,3452014,51393526.0,327.82,28329
76323633000100,95949806000137.0,Calmon,9837080,145346935.0,1300.98,95082
76323633000100,95992020000100.0,Macieira,9837080,145346869.0,885.6899999999999,95082
77774859000182,5666925000190.0,Mafra,2193757,30503220.0,1766.125,26289
78492576000100,78492576000100.0,Urupema,156853,1940061.0,26.76,2022
78492576000100,83073536000164.0,Lages,16037038,237957714.0,1836.26,137595
78988177000135,5026402000189.0,Iporã do Oeste,10467836,159006602.0,0.704,97128
79372553000125,83073536000164.0,Ibirama,154274,1904142.0,29.19,2022
79373767000116,3111139000109.0,Timbó,7059447,103652829.0,4133.984,72824
79373775000162,3111139000109.0,Timbó,9518764,139926959.0,784.87035,91038
79918892000164,4328816000108.0,Xanxerê,189708,2923709.0,0.0016,2023
80690753000105,5026402000189.0,Iporã do Oeste,6911638,104217178.0,0.5386,66769
81362618000101,3392348000593.0,Pescaria Brava,462158,6933310.0,0.03,4047
81366924000370,3392348000160.0,Chapecó,458314,5613152.0,0.014,6066
81531162000158,6101313000112.0,Içara,16957532,251791760.0,33224.62,141645
82538851000157,83073536000164.0,Laguna,1208695,18265795.0,825.72,12138
82561093000198,82561093000198.0,São Joaquim,184574,2789628.0,329.72,2023
82561093000198,83073536000164.0,Lages,8862070,129982818.0,15356.1,84965
82602327000360,3720956000156.0,Joinville,324026,3963077.0,3.91808,4044
82765488000102,31049979000116.0,Otacílio Costa,11489364,170749974.0,11651.41342,109251
82765488000102,82765488000102.0,Taió,147578,1767238.0,0.20628,2022
82777301000190,83073536000164.0,Lages,1989759,27471574.0,36423.62,24266
82777319000192,31049979000116.0,Otacílio Costa,5246635,76455310.0,2137.07,56636
82777319000192,82777319000192.0,Campo Belo do Sul,4341322,64566062.0,1403.2,36423
82777327000139,83073536000164.0,Lages,2522673,37543476.0,762.06,28316
82777343000121,83073536000164.0,Lages,8126848,120662295.0,5314.0,76878
82836818000103,83073536000164.0,Laguna,10783645,160482420.0,3489.85,103180
82837741000196,6101313000112.0,Içara,9682440,142526105.0,4833.61,93060
82837741000196,82837741000196.0,Meleiro,457430,6904038.0,214.96,4047
82843582000132,83073536000164.0,Lages,1105556,13659308.0,1500.56,14154
82844754000192,83073536000164.0,Laguna,3970968,60143818.0,1105.74,38441
82892266000150,50668722001916.0,Biguaçu,3990544,59227914.0,1.5396999999999998,32376
82892282002944,50668722001916.0,Biguaçu,8643878,129739859.0,733882.402,80927
82892282002944,50668722001916.0,Palhoça,180219,2749518.0,21467.46,2023
82892324000146,50668722001916.0,Biguaçu,2494558,37056264.0,4.78176,20235
82901000000127,904606000151.0,Blumenau,365208,5546135.0,5.04,4046
82901000000127,2108584000149.0,São José,1639055,24983743.0,3.4799999999999995,18204
82901000000127,2692709000120.0,Palhoça,1278881,19452526.0,3.6672000000000002,14160
82901000000127,3080160000186.0,Florianópolis,2908076,44235678.0,380.05,32364
82901000000127,3720956000156.0,Joinville,348510,5234327.0,0.245,4045
82901000000127,3938048000133.0,Palhoça,173340,2613500.0,7.5,2022
82901000000127,4910399000107.0,São José,1465204,22362760.0,9.153,16181
82901000000127,5608332000177.0,São José,697135,10468847.0,48.125,8090
82901000000127,5727740000148.0,Palhoça,895089,13587128.0,14.7,10112
82901000000127,7756675000104.0,Rio Negrinho,346680,5227002.0,0.022000000000000002,4044
82901000000127,12309733000191.0,Imaruí,1639055,24983742.0,11.4,18204
82901000000127,12475797000162.0,Cocal do Sul,190038,2925200.0,0.0081,2023
82901000000127,50668722001916.0,Biguaçu,3587087,54391231.0,49.7798,40453
82901000001441,904606000151.0,Blumenau,950211,14626282.0,2.1477,10115
82901000001441,2108584000149.0,São José,1119934,17136568.0,5.075,12137
82901000001441,2692709000120.0,Palhoça,1861583,28438677.0,37.5265,20229
82901000001441,3080160000186.0,Florianópolis,1295078,19765823.0,200.01,14160
82901000001441,3720956000156.0,Joinville,348495,5242530.0,0.696,4045
82901000001441,4910399000107.0,São José,2210078,33681226.0,226.3935,24274
82901000001441,5034679000153.0,São José dos Campos,1093766,16647594.0,63.456999999999994,12137
82901000001441,5608332000177.0,São José,363394,5538516.0,70.0,4045
82901000001441,5727740000148.0,Palhoça,173350,2613232.0,1.6,2022
82901000001441,7070660000198.0,São José,538539,8167815.0,7.292,6068
82901000001441,7756675000104.0,Rio Negrinho,346700,5226466.0,0.07550000000000001,4044
82901000001441,12309733000191.0,Imaruí,1105039,16840619.0,57.6,12137
82901000001441,12475797000162.0,Cocal do Sul,190043,2925259.0,0.0023,2023
82901000001441,46201083000188.0,Lençóis Paulista,173350,2613229.0,0.534,2022
82901000001441,50668722001916.0,Biguaçu,3339053,51039771.0,32.1795,36412
82901000001441,75821546001184.0,Joinville,555228,8479803.0,0.25,6069
82909409000190,82909409000190.0,Imbituba,167251,2525659.0,1483.28,2022
82909409000190,83073536000164.0,Laguna,1150442,15625262.0,9204.76,14154
82915026000124,6101313000112.0,Içara,9175743,135321924.0,4058.41,89013
82915026000124,82915026000124.0,Maracajá,615569,8861146.0,268.46000000000004,6069
82926536000105,3392348000160.0,Chapecó,159903,1966617.0,266.51,2022
82926536000105,83073536000164.0,Laguna,9628543,142287888.0,12091.26193,93060
82926551000145,83073536000164.0,Laguna,2782831,41792138.0,8794.3892,32358
82926569000147,83073536000164.0,Laguna,7028612,105225851.0,6708.97,62724
82926585000130,83073536000164.0,Laguna,9490030,140352275.0,2699.95,91038
82926593000186,83073536000164.0,Laguna,155522,1931980.0,16.98,2022
82928672000126,83073536000164.0,Laguna,4934018,72445224.0,2777.12,52592
82928680000172,83073536000164.0,Laguna,12947394,194167742.0,2832.12,113316
82928698000174,83073536000164.0,Laguna,968940,13345348.0,3244.08,12132
82928706000182,39598250000100.0,Tubarão,925546,13873044.0,120.0,8094
82928706000182,83073536000164.0,Laguna,10643092,159539478.0,50399.979999999996,93081
82959560000132,3720956000156.0,Joinville,410534,6316137.0,0.060000000000000005,4046
82959560000132,3901502000181.0,Indaial,205267,3158070.0,3.0,2023
83073536000164,1608820000123.0,Painel,1871354,27937736.0,127.16000000000001,16188
83073536000164,16780795000138.0,Pescaria Brava,9630610,142172916.0,13710.66,93060
83073536000164,75438655000145.0,Correia Pinto,9643964,142376709.0,9173.24,93060
83073536000164,78492576000100.0,Urupema,9526861,139779077.0,1252.48,93058
83073536000164,79372553000125.0,José Boiteux,7081114,104021886.0,1217.09,72824
83073536000164,82538851000157.0,Imaruí,7640054,114554783.0,5147.57,68794
83073536000164,82558149000155.0,Grão Pará,8342564,125214843.0,2569.83,76884
83073536000164,82561093000198.0,São Joaquim,9375103,137876154.0,16452.6,91036
83073536000164,82777301000190.0,Lages,9792136,144158503.0,147473.36,95082
83073536000164,82777327000139.0,São José do Cerrito,8860918,132654142.0,2521.92,82950
83073536000164,82777343000121.0,Bom Retiro,9643964,142376662.0,6544.54,93060
